'[15:00:00.000]',0.000,-0.055
'[15:00:00.004]',-0.025,-0.055
'[15:00:00.008]',-0.020,-0.105
'[15:00:00.012]',-0.020,-0.125
'[15:00:00.016]',0.010,-0.135
'[15:00:00.020]',0.040,-0.170
'[15:00:00.024]',0.050,-0.235
'[15:00:00.028]',0.055,-0.270
'[15:00:00.032]',0.040,-0.320
'[15:00:00.036]',0.035,-0.395
'[15:00:00.040]',0.025,-0.430
'[15:00:00.044]',0.070,-0.380
'[15:00:00.048]',0.065,-0.370
'[15:00:00.052]',0.035,-0.365
'[15:00:00.056]',-0.005,-0.310
'[15:00:00.060]',-0.025,-0.345
'[15:00:00.064]',0.000,-0.370
'[15:00:00.068]',0.015,-0.330
'[15:00:00.072]',0.030,-0.340
'[15:00:00.076]',0.030,-0.330
'[15:00:00.080]',0.015,-0.330
'[15:00:00.084]',0.010,-0.285
'[15:00:00.088]',0.000,-0.305
'[15:00:00.092]',-0.020,-0.320
'[15:00:00.096]',0.000,-0.290
'[15:00:00.100]',0.015,-0.305
'[15:00:00.104]',0.020,-0.310
'[15:00:00.108]',0.055,-0.255
'[15:00:00.112]',0.030,-0.230
'[15:00:00.116]',0.040,-0.180
'[15:00:00.120]',0.050,-0.055
'[15:00:00.124]',0.115,-0.025
'[15:00:00.128]',0.170,-0.100
'[15:00:00.132]',-0.185,-0.240
'[15:00:00.136]',-0.915,-0.100
'[15:00:00.140]',-1.620,0.250
'[15:00:00.144]',-2.100,0.560
'[15:00:00.148]',-2.430,0.590
'[15:00:00.152]',-2.615,-0.190
'[15:00:00.156]',-2.625,-0.920
'[15:00:00.160]',-2.725,-1.090
'[15:00:00.164]',-2.670,-0.755
'[15:00:00.168]',-2.395,-0.410
'[15:00:00.172]',-1.890,-0.535
'[15:00:00.176]',-1.230,-0.735
'[15:00:00.180]',-0.710,-0.685
'[15:00:00.184]',-0.335,-0.605
'[15:00:00.188]',-0.045,-0.510
'[15:00:00.192]',0.135,-0.365
'[15:00:00.196]',0.210,-0.190
'[15:00:00.200]',0.250,-0.085
