'0:00.000',-0.015,-0.320
'0:00.004',-0.045,-0.350
'0:00.008',-0.030,-0.345
'0:00.012',-0.025,-0.360
'0:00.016',-0.005,-0.365
'0:00.020',-0.045,-0.360
'0:00.024',-0.015,-0.340
'0:00.028',-0.025,-0.340
'0:00.032',-0.040,-0.340
'0:00.036',-0.045,-0.360
'0:00.040',-0.050,-0.365
'0:00.044',-0.040,-0.345
'0:00.048',-0.045,-0.350
'0:00.052',-0.035,-0.345
'0:00.056',-0.045,-0.360
'0:00.060',-0.050,-0.360
'0:00.064',-0.040,-0.355
'0:00.068',-0.045,-0.335
'0:00.072',-0.055,-0.335
'0:00.076',-0.050,-0.290
'0:00.080',-0.035,-0.240
'0:00.084',-0.040,-0.230
'0:00.088',-0.050,-0.185
'0:00.092',-0.060,-0.175
'0:00.096',-0.040,-0.170
'0:00.100',-0.010,-0.160
'0:00.104',0.000,-0.175
'0:00.108',0.035,-0.175
'0:00.112',0.035,-0.160
'0:00.116',0.060,-0.180
'0:00.120',0.070,-0.170
'0:00.124',0.075,-0.155
'0:00.128',0.050,-0.135
'0:00.132',0.040,-0.160
'0:00.136',0.000,-0.185
'0:00.140',-0.015,-0.230
'0:00.144',-0.015,-0.280
'0:00.148',-0.050,-0.300
'0:00.152',-0.090,-0.305
'0:00.156',-0.085,-0.300
'0:00.160',-0.100,-0.275
'0:00.164',-0.090,-0.260
'0:00.168',-0.125,-0.285
'0:00.172',-0.125,-0.275
'0:00.176',-0.125,-0.285
'0:00.180',-0.110,-0.290
'0:00.184',-0.090,-0.325
'0:00.188',-0.070,-0.345
'0:00.192',-0.050,-0.345
'0:00.196',-0.085,-0.360
'0:00.200',-0.070,-0.400
'0:00.204',-0.075,-0.390
'0:00.208',-0.055,-0.370
'0:00.212',-0.030,-0.380
'0:00.216',-0.010,-0.375
'0:00.220',-0.010,-0.375
'0:00.224',-0.020,-0.380
'0:00.228',-0.040,-0.385
'0:00.232',-0.005,-0.365
'0:00.236',-0.025,-0.365
'0:00.240',-0.035,-0.365
'0:00.244',-0.025,-0.350
'0:00.248',-0.025,-0.365
'0:00.252',-0.030,-0.360
'0:00.256',-0.015,-0.360
'0:00.260',-0.025,-0.340
'0:00.264',-0.030,-0.335
'0:00.268',-0.035,-0.320
'0:00.272',-0.050,-0.280
'0:00.276',-0.045,-0.220
'0:00.280',-0.060,-0.215
'0:00.284',-0.045,-0.140
'0:00.288',-0.045,0.070
'0:00.292',-0.030,0.350
'0:00.296',0.000,0.625
'0:00.300',0.050,0.785
'0:00.304',-0.005,0.880
'0:00.308',-0.025,0.890
'0:00.312',-0.070,0.790
'0:00.316',-0.105,0.555
'0:00.320',-0.185,0.195
'0:00.324',-0.405,-0.105
'0:00.328',-0.690,-0.145
'0:00.332',-1.040,0.040
'0:00.336',-1.310,0.085
'0:00.340',-1.475,-0.105
'0:00.344',-1.545,-0.420
'0:00.348',-1.405,-0.670
'0:00.352',-1.055,-0.780
'0:00.356',-0.610,-0.765
'0:00.360',-0.255,-0.735
'0:00.364',-0.145,-0.595
'0:00.368',-0.125,-0.530
'0:00.372',-0.140,-0.505
'0:00.376',-0.165,-0.505
'0:00.380',-0.150,-0.515
'0:00.384',-0.100,-0.510
'0:00.388',-0.065,-0.505
'0:00.392',-0.005,-0.500
'0:00.396',0.030,-0.500
'0:00.400',0.085,-0.450
'0:00.404',0.060,-0.495
'0:00.408',0.075,-0.500
'0:00.412',0.055,-0.510
'0:00.416',0.060,-0.470
'0:00.420',0.070,-0.475
'0:00.424',0.075,-0.470
'0:00.428',0.105,-0.475
'0:00.432',0.095,-0.475
'0:00.436',0.110,-0.470
'0:00.440',0.095,-0.480
'0:00.444',0.115,-0.460
'0:00.448',0.110,-0.480
'0:00.452',0.100,-0.465
'0:00.456',0.100,-0.480
'0:00.460',0.100,-0.490
'0:00.464',0.115,-0.490
'0:00.468',0.115,-0.490
'0:00.472',0.110,-0.470
'0:00.476',0.120,-0.505
'0:00.480',0.105,-0.480
'0:00.484',0.115,-0.460
'0:00.488',0.115,-0.485
'0:00.492',0.120,-0.485
'0:00.496',0.110,-0.495
'0:00.500',0.100,-0.490
'0:00.504',0.110,-0.490
'0:00.508',0.100,-0.510
'0:00.512',0.080,-0.505
'0:00.516',0.080,-0.485
'0:00.520',0.100,-0.500
'0:00.524',0.080,-0.505
'0:00.528',0.095,-0.510
'0:00.532',0.110,-0.505
'0:00.536',0.095,-0.490
'0:00.540',0.085,-0.505
'0:00.544',0.090,-0.510
'0:00.548',0.095,-0.475
'0:00.552',0.105,-0.490
'0:00.556',0.100,-0.470
'0:00.560',0.115,-0.465
'0:00.564',0.090,-0.450
'0:00.568',0.080,-0.435
'0:00.572',0.085,-0.415
'0:00.576',0.070,-0.390
'0:00.580',0.065,-0.385
'0:00.584',0.090,-0.365
'0:00.588',0.090,-0.330
'0:00.592',0.060,-0.320
'0:00.596',0.045,-0.325
'0:00.600',0.055,-0.300
'0:00.604',0.050,-0.290
'0:00.608',0.015,-0.280
'0:00.612',0.025,-0.270
'0:00.616',0.020,-0.250
'0:00.620',0.020,-0.260
'0:00.624',0.010,-0.255
'0:00.628',0.030,-0.255
'0:00.632',0.015,-0.265
'0:00.636',0.005,-0.255
'0:00.640',0.005,-0.265
'0:00.644',0.005,-0.275
'0:00.648',0.015,-0.255
'0:00.652',0.005,-0.255
'0:00.656',0.010,-0.265
'0:00.660',0.015,-0.280
'0:00.664',0.010,-0.300
'0:00.668',0.030,-0.285
'0:00.672',0.030,-0.290
'0:00.676',0.020,-0.285
'0:00.680',0.005,-0.285
'0:00.684',0.025,-0.305
'0:00.688',0.015,-0.290
'0:00.692',0.035,-0.300
'0:00.696',0.035,-0.305
'0:00.700',0.040,-0.295
'0:00.704',0.020,-0.285
'0:00.708',0.030,-0.320
'0:00.712',0.035,-0.305
'0:00.716',0.050,-0.320
'0:00.720',0.065,-0.315
'0:00.724',0.055,-0.315
'0:00.728',0.045,-0.325
'0:00.732',0.070,-0.315
'0:00.736',0.065,-0.320
'0:00.740',0.050,-0.315
'0:00.744',0.060,-0.315
'0:00.748',0.055,-0.320
'0:00.752',0.050,-0.320
'0:00.756',0.050,-0.300
'0:00.760',0.050,-0.290
'0:00.764',0.050,-0.315
'0:00.768',0.060,-0.335
'0:00.772',0.050,-0.315
'0:00.776',0.055,-0.315
'0:00.780',0.040,-0.315
'0:00.784',0.065,-0.310
'0:00.788',0.050,-0.305
'0:00.792',0.045,-0.305
'0:00.796',0.045,-0.285
'0:00.800',0.035,-0.295
'0:00.804',0.050,-0.290
'0:00.808',0.045,-0.310
'0:00.812',0.035,-0.280
'0:00.816',0.040,-0.280
'0:00.820',0.035,-0.300
'0:00.824',0.035,-0.310
'0:00.828',0.035,-0.300
'0:00.832',0.025,-0.315
'0:00.836',0.040,-0.310
'0:00.840',0.035,-0.310
'0:00.844',0.060,-0.315
'0:00.848',0.025,-0.295
'0:00.852',0.040,-0.285
'0:00.856',0.045,-0.285
